id_rh,nilai_rh,id_waktu,id_tanggal
RH509,40,J2,T5
RH510,39.4,J2,T5
RH511,39.2,J23,T5
RH512,39.1,J24,T6
RH513,38.9,J24,T6
RH514,38.7,J24,T6
RH515,38.5,J24,T6
RH516,38.8,J24,T6
RH517,38.9,J24,T6
RH518,38.9,J1,T6
RH519,38.9,J1,T6
RH520,39.1,J1,T6
RH521,39.6,J1,T6
RH522,40.2,J1,T6
RH523,41.8,J1,T6
RH524,43,J2,T6
RH525,41.4,J1,T6
RH526,41,J1,T6
RH527,39.9,J1,T6
RH528,39,J1,T6
RH529,38.6,J1,T6
RH530,38.7,J2,T6
RH531,38.8,J2,T6
RH532,38.9,J2,T6
RH533,39.7,J2,T6
RH534,39.7,J2,T6
RH535,39.9,J2,T6
RH536,40.1,J3,T6
RH537,39.9,J3,T6
RH538,39.4,J3,T6
RH539,39.2,J3,T6
RH540,39.5,J3,T6
RH541,39.5,J3,T6
RH542,40,J4,T6
RH543,40.8,J4,T6
RH544,41.3,J4,T6
RH545,40.1,J4,T6
RH546,39.6,J4,T6
RH547,39.5,J4,T6
RH548,39,J5,T6
RH549,39.2,J5,T6
RH550,39.7,J5,T6
RH551,39.8,J5,T6
RH552,39.7,J5,T6
RH553,39.3,J5,T6
RH554,39.3,J6,T6
RH555,40.1,J6,T6
RH556,40.9,J6,T6
RH557,41.8,J6,T6
RH558,42.3,J6,T6
RH559,43.5,J6,T6
RH560,44.8,J7,T6
RH561,46.1,J7,T6
RH562,47.3,J7,T6
RH563,48.2,J7,T6
RH564,49,J7,T6
RH565,49.3,J7,T6
RH566,49.6,J8,T6
RH567,50.1,J8,T6
RH568,50.7,J8,T6
RH569,51,J8,T6
RH570,51.6,J8,T6
RH571,52.1,J8,T6
RH572,52.3,J9,T6
RH573,52.7,J9,T6
RH574,53,J9,T6
RH575,53,J9,T6
RH576,53.3,J9,T6
RH577,53.5,J9,T6
RH578,53.8,J10,T6
RH579,54,J10,T6
RH580,54.4,J10,T6
RH581,54.7,J10,T6
RH582,55,J10,T6
RH583,55.4,J10,T6
RH584,55.5,J11,T6
RH585,55.6,J11,T6
RH586,55.7,J11,T6
RH587,55.7,J11,T6
RH588,55.9,J11,T6
RH589,56,J11,T6
RH590,56.1,J12,T6
RH591,56.3,J12,T6
RH592,56.4,J12,T6
RH593,56.6,J12,T6
RH594,56.7,J12,T6
RH595,56.8,J12,T6
RH596,57,J13,T6
RH597,57.3,J13,T6
RH598,57.6,J13,T6
RH599,57.7,J13,T6
RH600,57.9,J13,T6
RH601,58,J13,T6
RH602,58,J14,T6
RH603,58.1,J14,T6
RH604,58.2,J14,T6
RH605,58.2,J14,T6
RH606,58.3,J14,T6
RH607,58.3,J14,T6
RH608,58.4,J15,T6
RH609,58.4,J15,T6
RH610,58.4,J15,T6
RH611,58.5,J15,T6
RH612,58.6,J15,T6
RH613,58.5,J15,T6
RH614,58.7,J16,T6
RH615,58.7,J16,T6
RH616,58.8,J16,T6
RH617,58.8,J16,T6
RH618,58.9,J16,T6
RH619,58.9,J16,T6
RH620,59,J17,T6
RH621,59,J17,T6
RH622,59,J17,T6
RH623,59,J17,T6
RH624,59,J17,T6
RH625,59.1,J17,T6
RH626,59.2,J18,T6
RH627,59.2,J18,T6
RH628,59.2,J18,T6
RH629,59.2,J18,T6
RH630,59.3,J18,T6
RH631,59.4,J18,T6
RH632,59.4,J19,T6
RH633,59.5,J19,T6
RH634,59.5,J19,T6
RH635,59.5,J19,T6
RH636,59.6,J19,T6
RH637,59.5,J19,T6
RH638,59.4,J20,T6
RH639,59.2,J20,T6
RH640,59.4,J20,T6
RH641,59.5,J20,T6
RH642,59.6,J20,T6
RH643,59.6,J20,T6
RH644,59.6,J21,T6
RH645,59.5,J21,T6
RH646,59.6,J21,T6
RH647,59.8,J21,T6
RH648,59.6,J21,T6
RH649,59.3,J21,T6
RH650,59,J22,T6
RH651,58.8,J22,T6
RH652,58.5,J22,T6
RH653,53.7,J22,T6
RH654,47.3,J22,T6
RH655,44.1,J22,T6
RH656,42.9,J23,T6
RH657,41.9,J23,T6
RH658,41.5,J23,T6
RH659,41,J23,T6
RH660,40.5,J23,T6
RH661,40,J23,T6
RH662,39.8,J24,T7
RH663,40,J24,T7
RH664,40.4,J23,T7
RH665,40.1,J23,T7
RH666,40,J23,T7
RH667,39.6,J24,T8
RH668,39.1,J24,T8
RH669,39.1,J24,T8
RH670,39.7,J24,T8
RH671,39.2,J24,T8
RH672,39,J24,T8
RH673,38.7,J1,T8
RH674,38.9,J1,T8
RH675,39,J1,T8
RH676,39,J1,T8
RH677,39.3,J1,T8
RH678,42,J3,T8
RH679,41.6,J3,T8
RH680,41.2,J3,T8
RH681,41.2,J3,T8
RH682,41,J3,T8
RH683,40.9,J4,T8
RH684,41,J4,T8
RH685,41.1,J4,T8
RH686,41.7,J4,T8
RH687,41.7,J4,T8
RH688,41.9,J4,T8
RH689,42.5,J5,T8
RH690,64.8,J22,T9
RH691,56.7,J3,T10
RH692,56.1,J3,T10
RH693,56.6,J3,T10
RH694,56.8,J3,T10
RH695,55.7,J3,T10
RH696,54.6,J3,T10
RH697,55.8,J4,T8
RH698,55.6,J4,T8
RH699,55.2,J4,T8
RH700,55.2,J4,T8
RH701,53.6,J4,T8
RH702,56.9,J4,T8
RH703,57.9,J5,T8
RH704,62.5,J10,T8
RH705,64.4,J10,T8
RH706,66.6,J10,T8
RH707,68.1,J11,T8
RH708,69.3,J11,T8
RH709,75.4,J1,T9
RH710,74,J2,T9
RH711,75.6,J2,T9
RH712,75.1,J2,T9
RH713,65.3,J3,T9
RH714,68.6,J3,T9
RH715,74.7,J3,T9
RH716,75,J3,T9
RH717,73.2,J4,T9
RH718,73.7,J4,T9
RH719,72.1,J4,T9
RH720,74.7,J4,T9
RH721,74.7,J4,T9
RH722,73.9,J4,T9
RH723,70.5,J6,T9
RH724,72.5,J6,T9
RH725,70.2,J6,T9
RH726,69.8,J7,T9
RH727,67,J7,T9
RH728,64.6,J7,T9
RH729,66.4,J7,T9
RH730,68.2,J7,T9
RH731,70,J7,T9
RH732,64.6,J8,T9
RH733,64.2,J8,T9
RH734,64.2,J8,T9
RH735,61.6,J8,T9
RH736,60.9,J8,T9
RH737,59.6,J8,T9
RH738,58,J9,T9
RH739,57.6,J9,T9
RH740,58.1,J9,T9
RH741,60,J9,T9
RH742,59.6,J9,T9
RH743,59.1,J9,T9
RH744,59.8,J10,T9
RH745,58.5,J10,T9
RH746,60,J10,T9
RH747,62,J10,T9
RH748,65.2,J10,T9
RH749,68.3,J10,T9
RH750,70.4,J11,T9
RH751,72.7,J11,T9
RH752,74.1,J11,T9
RH753,75.7,J11,T9
RH754,77.8,J11,T9
